DT_REFER;DENOM_CIA;ESCALA_MOEDA;ORDEM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.01;gio na Emissàde Aes;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.01;gio na Emissàde Aes;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.02;Reserva Especial de gio na Incorporaï;6625608.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.02;Reserva Especial de gio na Incorporaï;6627633.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.03;Alienaï de B{s de Subscriï;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.03;Alienaï de B{s de Subscriï;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.04;Opes Outorgadas;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.04;Opes Outorgadas;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.02.05;Aes em Tesouraria;-280642.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.02.05;Aes em Tesouraria;-276913.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.03;Reservas de Reavaliaï;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.03;Reservas de Reavaliaï;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04;Reservas de Lucros;39198468.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04;Reservas de Lucros;51180290.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.01;Reserva Legal;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.01;Reserva Legal;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.02;Reserva Estatut©a;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.02;Reserva Estatut©a;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.03;Reserva para Conting£ias;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.03;Reserva para Conting£ias;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.04;Reserva de Lucros a Realizar;39198468.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.04;Reserva de Lucros a Realizar;51180290.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.05;Reserva de Retenï de Lucros;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.05;Reserva de Retenï de Lucros;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.06;Reserva Especial para Dividendos NàDistribu/s;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.06;Reserva Especial para Dividendos NàDistribu/s;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.04.09;Aes em Tesouraria;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.04.09;Aes em Tesouraria;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.05;Lucros/Preju¯s Acumulados;-4447316.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.05;Lucros/Preju¯s Acumulados;-4817560.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.06;Ajustes de Avaliaï Patrimonial;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.06;Ajustes de Avaliaï Patrimonial;0.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.07;Ajustes Acumulados de Conversû0.0000000000;S
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.07;Ajustes Acumulados de Conversû0.0000000000;S
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.01.08;Outros Resultados Abrangentes;-14096369.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.01.08;Outros Resultados Abrangentes;-8061991.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;PENŒTIMO;2.07.02;Patrimzo Luido Atribu/ aos NàControladores;2761512.0000000000
2021-12-31;BCO BRASIL S.A.;MIL;ŒTIMO;2.07.02;Patrimzo Luido Atribu/ aos NàControladores;3358751.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2;Passivo Total;25496999.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2;Passivo Total;31751760.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.01;Passivos Financeiros Avaliados ao Valor Justo atravàdo Resultado;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.01;Passivos Financeiros Avaliados ao Valor Justo atravàdo Resultado;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.02;Passivos Financeiros ao Custo Amortizado;20597257.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.02;Passivos Financeiros ao Custo Amortizado;25586460.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.02.01;DepŽtos;16688080.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.02.01;DepŽtos;19035428.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.02.02;Captaes no Mercado Aberto;317827.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.02.02;Captaes no Mercado Aberto;1335234.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.02.03;Recursos Mercado Interfinanceiro;766193.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.02.03;Recursos Mercado Interfinanceiro;597466.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.02.04;Outras Captaes;2825157.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.02.04;Outras Captaes;4618332.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.03;ProvisWû628947.0000000000;S
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.03;ProvisWû686843.0000000000;S
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.04;Passivos Fiscais;189918.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.04;Passivos Fiscais;426020.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.05;Outros Passivos;1965706.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.05;Outros Passivos;2562769.0000000000
